artist,title,album,nof_tracks,key,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,nof notes,%C,%C#,%D,%D#,%E,%F,%F#,%G,%G#,%A,%A#,%B,genre
Megadeth,In My Darkest Hour,"So Far, So Good...So What!",4,G/Em,462,181,431,83,1740,221,326,574,57,755,163,577,5570,8.29443447037702,3.249551166965889,7.737881508078995,1.4901256732495511,31.23877917414722,3.967684021543986,5.85278276481149,10.305206463195692,1.0233393177737882,13.554757630161578,2.926391382405745,10.359066427289049,metal
unknown,unknown,unknown,6,F/Dm,552,46,4845,516,1632,1572,79,663,117,749,328,600,11699,4.718351995897086,0.39319599965809043,41.413796050944526,4.410633387469014,13.949910248739208,13.43704590135909,0.6752713907171553,5.667151038550303,1.00008547739123,6.402256603128473,2.803658432344645,5.12864347380118,metal
unknown,unknown,unknown,5,F/Dm,118,22,1483,228,80,586,117,83,222,221,105,377,3642,3.2399780340472266,0.6040637012630422,40.719384953322354,6.260296540362438,2.196595277320154,16.090060406370128,3.2125205930807246,2.2789676002196595,6.095551894563426,6.068094453596925,2.883031301482702,10.351455244371225,metal
Anthrax,Poison My Eyes,Last Action Hero,4,C/Am,271,201,641,0,304,170,574,208,3,838,94,276,3580,7.5698324022346375,5.614525139664805,17.90502793296089,0.0,8.491620111731843,4.748603351955307,16.033519553072626,5.810055865921788,0.08379888268156424,23.40782122905028,2.6256983240223466,7.709497206703911,metal
Iron Maiden,Flash of the blade,Powerslave,7,D/Bm,626,54,843,72,635,48,200,246,114,758,402,409,4407,14.204674381665534,1.2253233492171545,19.128658951667802,1.6337644656228727,14.408894939868391,1.0891763104152483,4.538234626730202,5.582028590878148,2.5867937372362153,17.199909235307466,9.121851599727705,9.280689811663263,metal
Iron Maiden,Die With Your Boots On,Piec of mind,5,G/Em,788,0,655,0,1508,835,101,1107,0,788,624,290,6696,11.768219832735962,0.0,9.781959378733571,0.0,22.520908004778974,12.470131421744325,1.5083632019115891,16.532258064516128,0.0,11.768219832735962,9.31899641577061,4.33094384707288,metal
Iron Maiden,The Apparation,unknown,4,G/Em,55,219,369,25,468,7,146,132,16,286,39,304,2066,2.6621490803484993,10.600193610842206,17.860600193610843,1.2100677637947725,22.65246853823814,0.3388189738625363,7.066795740561471,6.389157792836399,0.7744433688286544,13.843175217812199,1.887705711519845,14.714424007744434,metal
Iron Maiden,Age of Innocence,Dance of Death,8,G/Em,775,418,937,0,1838,3,767,1110,30,882,0,488,7248,10.692604856512142,5.76710816777042,12.927704194260487,0.0,25.358719646799116,0.041390728476821195,10.582229580573951,15.314569536423841,0.4139072847682119,12.168874172185431,0.0,6.73289183222958,metal
Iron Maiden,Heaven Can Wait,Somewhere In Time,7,F/Dm,1324,17,2854,2,1427,555,438,1250,0,1757,544,324,10492,12.619138391155166,0.16202821197102554,27.201677468547462,0.019062142584826535,13.600838734273731,5.289744567289363,4.174609226077012,11.913839115516584,0.0,16.74609226077011,5.184902783072817,3.0880670987418988,metal
Iron Maiden,Alexander The Great,Somewhere In Time,9,G/Em,1520,257,1533,210,3338,310,470,1673,62,1638,353,2039,13403,11.340744609415802,1.9174811609341191,11.437737819891069,1.566813399985078,24.904872043572336,2.312915019025591,3.5066776094904126,12.482280086547789,0.4625830038051183,12.221144519883609,2.633738715213012,15.213012012236065,metal
Iron Maiden,The Longest Day,A Matter of Life And Death,6,G/Em,678,50,760,0,2529,12,316,867,0,929,0,1332,7473,9.0726615816941,0.6690753378830456,10.169945135822294,0.0,33.84183059012445,0.16057808109193095,4.228556135420848,11.60176635889201,0.0,12.431419777866989,0.0,17.824167001204337,metal
Iron Maiden,Fear Is the Key,Fear Of The Dark,4,G/Em,268,102,316,33,1064,128,76,242,39,445,6,526,3245,8.258859784283514,3.1432973805855164,9.738058551617874,1.0169491525423728,32.788906009245,3.9445300462249615,2.342064714946071,7.457627118644068,1.2018489984591678,13.713405238828969,0.18489984591679506,16.2095531587057,metal
unknown,unknown,unknown,6,G/Em,10,194,341,2,689,27,274,146,114,501,30,292,2620,0.38167938931297707,7.404580152671755,13.01526717557252,0.07633587786259542,26.29770992366412,1.0305343511450382,10.458015267175574,5.572519083969466,4.351145038167939,19.12213740458015,1.1450381679389312,11.145038167938932,metal
Megadeth,Trust,unknown,6,G/Em,513,13,142,7,1143,181,22,153,1,437,183,284,3079,16.661253653783696,0.42221500487171165,4.611886976291004,0.22734654108476776,37.1224423514128,5.878531990906138,0.7145177005521274,4.969145826567067,0.03247807729782397,14.192919779149074,5.943488145501787,9.223773952582007,metal
Megadeth,Five Magics,Rust In Peace,5,G/Em,364,131,317,67,2311,711,273,435,9,292,318,829,6057,6.009575697540036,2.1627868581806173,5.2336140003301965,1.1061581641076441,38.154201750041274,11.738484398216938,4.507181773155027,7.181773155027241,0.1485884101040119,4.820868416707942,5.250123823675087,13.686643552913985,metal
Megadeth,Go To Hell,Hidden Treasures,4,G/Em,272,181,228,80,1530,214,237,228,48,197,49,362,3626,7.501378929950358,4.991726420297849,6.2879205736348585,2.2062879205736348,42.19525648097077,5.901820187534473,6.536127964699394,6.2879205736348585,1.323772752344181,5.4329840044125755,1.3513513513513513,9.983452840595698,metal
Megadeth,Sleepwalker,United Abominations,5,G/Em,90,83,90,25,769,115,531,191,26,304,148,214,2586,3.480278422273782,3.209590100541377,3.480278422273782,0.9667440061871616,29.737045630317095,4.447022428460944,20.533642691415313,7.385924207269914,1.005413766434648,11.755607115235886,5.723124516627997,8.275328692962104,metal
unknown,unknown,unknown,7,G/Em,783,0,1049,16,2044,0,661,933,0,497,0,970,6953,11.261326046310945,0.0,15.087012800230115,0.23011649647634116,29.39738242485258,0.0,9.506687760678844,13.418668200776644,0.0,7.147993671796347,0.0,13.950812598878182,metal
Iron Maiden,Be quick or be dead,Fear of the dark,7,A#/Gm,735,2,515,306,14,458,2,1142,4,90,320,0,3588,20.48494983277592,0.055741360089186176,14.35340022296544,8.528428093645484,0.39018952062430323,12.764771460423635,0.055741360089186176,31.828316610925306,0.11148272017837235,2.508361204013378,8.918617614269788,0.0,metal
Slayer,Playing With Dolls,World Painted Blood,4,F/Dm,24,8,1409,36,196,458,38,174,296,144,15,0,2798,0.8577555396711937,0.28591851322373124,50.357398141529664,1.2866333095067906,7.005003573981415,16.368834882058614,1.3581129378127232,6.218727662616154,10.578984989278057,5.146533238027162,0.5360972122944961,0.0,metal
unknown,DIFFERENT WORLD,A MATTER OF LIFE AND DEATH,6,G/Em,828,0,1223,0,2187,1,204,1449,0,792,0,692,7376,11.225596529284164,0.0,16.580802603036876,0.0,29.650216919739698,0.013557483731019523,2.765726681127983,19.64479392624729,0.0,10.737527114967461,0.0,9.38177874186551,metal
Megadeth,A Tout Le Monde,Youthanasia,7,G/Em,216,33,345,0,550,102,140,406,0,390,0,302,2484,8.695652173913043,1.328502415458937,13.88888888888889,0.0,22.14170692431562,4.1062801932367154,5.636070853462158,16.344605475040257,0.0,15.70048309178744,0.0,12.157809983896941,metal
Metallica,Am I Evil,Garage Inc.,6,G/Em,141,47,697,42,3634,229,319,432,15,1681,224,1648,9109,1.547919639916566,0.5159732133055219,7.651772971786146,0.4610824459325941,39.89460972664398,2.5139971456800967,3.502030958392798,4.742562301020968,0.16467230211878361,18.454275990778353,2.459106378307169,18.091996926117027,metal
Anthrax,Schism,State Of Euphoria,5,G/Em,172,80,136,20,1555,126,230,393,308,751,588,245,4604,3.735881841876629,1.7376194613379672,2.9539530842745436,0.4344048653344918,33.77497827975674,2.736750651607298,4.995655951346655,8.536055603822764,6.689834926151173,16.311902693310167,12.771503040834057,5.321459600347524,metal
Anthrax,Skeletons In The Closet,unknown,4,G/Em,152,152,433,42,2649,485,488,895,140,280,525,512,6753,2.250851473419221,2.250851473419221,6.411965052569228,0.6219458018658374,39.22701021768103,7.181993188212646,7.226417888345921,13.253368873093441,2.0731526728861245,4.146305345772249,7.774322523322967,7.581815489412113,metal
Iron Maiden,Aces High,Powerslave (1984),10,G/Em,850,134,902,162,1822,340,324,1108,50,1615,33,720,8060,10.54590570719603,1.662531017369727,11.191066997518611,2.009925558312655,22.60545905707196,4.218362282878412,4.01985111662531,13.746898263027296,0.620347394540943,20.037220843672458,0.4094292803970223,8.933002481389577,metal
Iron Maiden,Children Of The Damned,The Number Of The Beast,6,G/Em,505,3,897,0,1323,11,487,653,0,515,0,843,5237,9.642925338934505,0.057284704983769336,17.12812679014703,0.0,25.262554897842275,0.2100439182738209,9.29921710903189,12.468970784800458,0.0,9.833874355547069,0.0,16.097002100439184,metal
Iron Maiden,Flight Of Icarus,Piece Of Mind,7,A/F#m,5,937,426,11,862,0,1425,0,385,880,0,425,5356,0.09335324869305452,17.49439880507842,7.953696788648244,0.20537714712471994,16.0941000746826,0.0,26.60567587752054,0.0,7.188200149365198,16.430171769977594,0.0,7.935026138909635,metal
Iron Maiden,For the greater good of God,A matter of life and death,7,G/Em,1508,4,1618,6,2629,0,569,2154,3,1287,5,937,10720,14.067164179104477,0.0373134328358209,15.093283582089553,0.055970149253731345,24.524253731343286,0.0,5.307835820895523,20.09328358208955,0.027985074626865673,12.005597014925373,0.046641791044776115,8.740671641791046,metal
Iron Maiden,Blood Brothers,Brave new world,5,D/Bm,456,2,797,0,732,0,99,776,0,523,4,446,3835,11.890482398956975,0.05215123859191656,20.78226857887875,0.0,19.08735332464146,0.0,2.5814863102998697,20.234680573663624,0.0,13.63754889178618,0.10430247718383312,11.629726205997393,metal
Iron Maiden,Childhood's End,Fear Of The Dark,7,E/C#m,8,865,426,0,1233,0,1101,33,270,855,0,984,5775,0.13852813852813853,14.978354978354979,7.376623376623377,0.0,21.350649350649352,0.0,19.064935064935064,0.5714285714285714,4.675324675324675,14.805194805194805,0.0,17.03896103896104,metal
Iron Maiden,Doctor Doctor,Virus,8,F/Dm,1053,18,1290,0,292,1456,0,595,0,1025,836,1,6566,16.03716113310996,0.27413950654888825,19.646664636003656,0.0,4.447151995126409,22.174840085287848,0.0,9.061833688699359,0.0,15.610721900700577,12.732257081937254,0.015229972586049346,metal
Iron Maiden,Back In The Village,Powerslave,4,C/Am,82,2,76,0,30,30,24,136,0,278,16,28,702,11.68091168091168,0.2849002849002849,10.826210826210826,0.0,4.273504273504273,4.273504273504273,3.418803418803419,19.37321937321937,0.0,39.6011396011396,2.2792022792022792,3.9886039886039883,metal
Megadeth,Rust In Peace,unknown,6,G/Em,2278,2980,4602,621,9793,2116,8335,4669,491,4583,1252,4684,46404,4.909059563830704,6.421860184466856,9.917248513059219,1.3382467028704423,21.10378415653823,4.559951728299285,17.96181363675545,10.06163261787777,1.0580984397896733,9.876303766916646,2.6980432721317125,10.093957417464011,metal
Metallica,Don't Tread On Me,Metallica,6,G/Em,113,62,407,42,1705,425,187,480,117,300,270,360,4468,2.5290957923008057,1.387645478961504,9.109221128021487,0.9400179051029544,38.16025067144136,9.512085944494181,4.18531781557744,10.743061772605191,2.618621307072516,6.714413607878246,6.042972247090421,8.057296329453894,metal
by Metallica,To Live Is To Die,from ...And Justice For All,8,G/Em,191,535,903,12,1524,71,1401,1171,31,1101,43,872,7855,2.4315722469764482,6.810948440483769,11.495862507956716,0.1527689369828135,19.401654996817314,0.9038828771483132,17.835773392743477,14.907702100572884,0.39465308720560155,14.01654996817314,0.547422024188415,11.101209420751115,metal
Iron Maiden,Phantom of the Opera,Iron Maiden,8,F/Dm,251,0,635,21,85,314,0,155,6,298,147,2,1914,13.113897596656217,0.0,33.176593521421104,1.09717868338558,4.440961337513062,16.405433646812956,0.0,8.098223615464995,0.3134796238244514,15.569487983281086,7.6802507836990594,0.10449320794148381,metal
Megadeth,Paranoid,Hidden Treasures,7,G/Em,24,8,896,6,1601,13,88,286,6,599,64,1056,4647,0.5164622336991607,0.17215407789972026,19.281256724768667,0.12911555842479017,34.45233483968151,0.27975037658704544,1.8936948568969227,6.154508284914999,0.12911555842479017,12.890036582741555,1.377232623197762,22.724338282763075,metal
Metallica,Creeping Death,Ride The Lightning,7,G/Em,584,71,720,21,3643,240,568,422,20,627,3,1239,8158,7.158617308163766,0.8703113508212796,8.825692571708753,0.25741603334150526,44.655552831576365,2.9418975239029175,6.962490806570237,5.1728364795292965,0.24515812699190978,7.685707281196372,0.036773719048786464,15.18754596714881,metal
Foo Fighters,Virginia Moon,In Your Honor,8,F#/D#m,116,371,118,238,252,49,485,144,109,0,349,475,2706,4.286770140428677,13.710273466371028,4.360679970436069,8.795269770879527,9.312638580931264,1.810790835181079,17.923133776792312,5.321507760532151,4.028085735402809,0.0,12.897265336289726,17.55358462675536,rock
Led Zeppelin,Babe I'M Gonna Leave You,unknown,7,C/Am,613,4,394,11,1279,558,406,649,108,1469,6,370,5867,10.448269984659962,0.06817794443497528,6.715527526845065,0.18748934719618204,21.79989773308335,9.510823248679053,6.920061360149991,11.06187148457474,1.8408044997443327,25.038350093744672,0.10226691665246293,6.306459860235214,rock
Red Hot Chili Peppers,Don't forget me,By The Way,6,G/Em,1128,0,632,0,2963,93,0,691,0,1598,37,355,7497,15.046018407362945,0.0,8.430038682139521,0.0,39.52247565692944,1.2404961984793916,0.0,9.21702014138989,0.0,21.31519274376417,0.493530745631586,4.735227424303055,rock
Foo Fighters,The Colour And The Shape,The Colour And The Shape,3,A/F#m,289,89,113,2,209,269,870,32,120,159,12,97,2261,12.781954887218044,3.9363113666519243,4.997788589119859,0.08845643520566121,9.243697478991598,11.897390535161433,38.478549314462626,1.4153029632905794,5.307386112339673,7.0322865988500665,0.5307386112339673,4.290137107474569,rock
unknown,unknown,unknown,4,F/Dm,84,22,177,1,148,78,59,133,14,145,40,146,1047,8.022922636103152,2.1012416427889207,16.9054441260745,0.09551098376313276,14.13562559694365,7.4498567335243555,5.635148042024833,12.702960840496658,1.3371537726838587,13.84909264565425,3.8204393505253105,13.944603629417381,rock
Foo Fighters,Everlong,The Colour and the Shape,8,D/Bm,0,591,1792,0,362,0,942,789,0,557,0,929,5962,0.0,9.912780945991278,30.057027843005702,0.0,6.071787990607179,0.0,15.800067091580006,13.233814156323382,0.0,9.342502515934251,0.0,15.582019456558202,rock
Foo Fighters,Stranger Things Have Happened,"Echoes, Silence, Patience & Grace",4,D/Bm,10,302,574,0,1495,41,709,176,284,760,0,1502,5853,0.170852554245686,5.159747138219716,9.806936613702375,0.0,25.542456859730052,0.7004954724073125,12.113446096019135,3.007004954724073,4.852212540577481,12.984794122672133,0.0,25.66205364770203,rock
Led Zepplin,Stairway To Heaven,Led Zepplin IV,8,C/Am,1071,52,880,342,1014,315,159,709,719,559,337,544,6701,15.982689150873004,0.7760035815549917,13.132368303238323,5.103715863303984,15.132069840322341,4.700790926727354,2.3727801820623786,10.580510371586332,10.729741829577675,8.342038501716162,5.029100134308312,8.118191314729145,rock
unknown,unknown,unknown,7,A#/Gm,181,2,712,174,360,179,2,1199,2,307,320,236,3674,4.9265106151333695,0.05443658138268917,19.379422972237343,4.735982580293958,9.79858464888405,4.872074033750681,0.05443658138268917,32.634730538922156,0.05443658138268917,8.356015242242787,8.709853021230266,6.423516603157322,rock
Foo Fighters,Arlandria,Wasting Light,6,E/C#m,80,624,0,56,725,21,588,59,354,467,23,502,3499,2.286367533581023,17.83366676193198,0.0,1.6004572735067162,20.72020577307802,0.6001714775650185,16.80480137182052,1.6861960560160045,10.117176336096028,13.346670477279224,0.6573306659045441,14.34695627322092,rock
Red Hot Chilli Peppers,Can't Stop,By the Way,11,G/Em,322,0,1120,3,1137,0,140,388,0,432,0,546,4088,7.876712328767123,0.0,27.397260273972602,0.07338551859099804,27.813111545988257,0.0,3.4246575342465753,9.49119373776908,0.0,10.567514677103718,0.0,13.356164383561644,rock
unknown,Red Hot Chili Peppers - Dani California,Stadium Arcadium,5,F/Dm,452,0,1050,0,349,317,49,644,0,897,3,258,4019,11.246578750933068,0.0,26.1259019656631,0.0,8.683752177158498,7.88753421249067,1.2192087583976112,16.023886538940037,0.0,22.318984822095047,0.07464543418760886,6.419507340134362,rock
Foo Fighters,This is a call,Foo Fighters,5,E/C#m,3,222,524,32,1809,4,541,511,519,689,28,624,5506,0.05448601525608428,4.031965128950236,9.516890664729386,0.5811841627315656,32.85506719941881,0.0726480203414457,9.82564475118053,9.280784598619688,9.42608063930258,12.51362150381402,0.5085361423901199,11.33309117326553,rock
Led Zeppelin,Kashmir,unknown,8,F/Dm,464,179,5021,0,1209,268,87,1285,20,2157,405,437,11532,4.023586541796739,1.5522025667707249,43.5397155740548,0.0,10.483870967741936,2.3239680887963927,0.7544224765868887,11.14290669441554,0.1734304543877905,18.704474505723205,3.5119667013527573,3.789455428373222,rock
Foo Fighters,The Pretender,"Echoes, Silence, Patience and Grace",10,C/Am,1518,24,771,16,2929,518,779,482,6,3281,0,152,10476,14.490263459335626,0.22909507445589922,7.359679266895762,0.15273004963726614,27.959144711722033,4.944635357006491,7.436044291714394,4.6009927453226425,0.057273768613974804,31.319205803741884,0.0,1.4509354715540281,rock
unknown,unknown,unknown,8,D/Bm,2,1151,762,334,3120,2,880,45,173,1098,116,3613,11296,0.017705382436260624,10.189447592067989,6.745750708215298,2.9567988668555243,27.620396600566572,0.017705382436260624,7.790368271954675,0.398371104815864,1.531515580736544,9.720254957507082,1.0269121813031163,31.984773371104815,rock
Led Zeppelin,Heartbreaker,Led Zeppelin II,4,C/Am,151,110,174,18,357,24,109,250,30,392,7,106,1728,8.738425925925926,6.365740740740741,10.069444444444445,1.0416666666666665,20.65972222222222,1.3888888888888888,6.30787037037037,14.467592592592593,1.7361111111111112,22.685185185185187,0.40509259259259256,6.1342592592592595,rock
Led Zeppelin,Black Dog,Led Zeppelin IV,5,C/Am,351,39,409,20,562,0,184,331,31,1196,0,89,3212,10.92777085927771,1.2141967621419676,12.733499377334995,0.62266500622665,17.496886674968867,0.0,5.72851805728518,10.305105853051058,0.9651307596513077,37.23536737235367,0.0,2.7708592777085927,rock
David Bowie,Ziggy Stardust,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,7,G/Em,694,61,1341,2,1143,302,317,1463,75,955,4,911,7268,9.548706659328564,0.8392955421023666,18.450742982938912,0.0275178866263071,15.726472206934508,4.155200880572372,4.3615850302696755,20.129334067143642,1.0319207484865163,13.13979086406164,0.0550357732526142,12.534397358282884,rock
Foo Fighters,Long Road to Ruin,"Echoes, Silence, Patience & Grace",6,C/Am,1243,0,475,0,381,785,22,526,0,735,0,174,4341,28.633955309836445,0.0,10.942179221377563,0.0,8.776779543883897,18.08339092375029,0.506795669200645,12.117023727251786,0.0,16.93158258465791,0.0,4.0082930200414655,rock
Led Zeppelin,Whole Lotta Love,Led Zeppelin II,6,G/Em,0,14,670,10,1567,0,35,64,29,344,8,600,3341,0.0,0.41903621670158636,20.05387608500449,0.299311583358276,46.90212511224184,0.0,1.0475905417539657,1.9155941334929663,0.8680035917390003,10.296318467524692,0.23944926668662078,17.958695001496558,rock
Led Zeppelin,Immigrant Song,Early Days: The Best of Led Zeppelin Volume 1,5,A/F#m,152,85,27,30,366,11,860,83,16,178,6,153,1967,7.727503812913065,4.321301474326385,1.3726487036095576,1.525165226232842,18.60701576004067,0.5592272496187087,43.721403152008136,4.219623792577529,0.813421453990849,9.049313675648195,0.3050330452465684,7.778342653787494,rock
unknown,Since I've been loving you,unknown,7,D#/Cm,1567,41,471,706,30,849,121,926,457,42,457,83,5750,27.252173913043475,0.7130434782608696,8.191304347826087,12.278260869565218,0.5217391304347827,14.765217391304347,2.104347826086957,16.104347826086958,7.947826086956522,0.7304347826086957,7.947826086956522,1.443478260869565,rock
David Bowie,Starman,Ziggy Stardust,8,F/Dm,1438,17,812,17,587,1446,47,850,38,1083,747,49,7131,20.165474687982048,0.23839573692329266,11.386902257747861,0.23839573692329266,8.23166456317487,20.27766091712242,0.6590940961996915,11.919786846164634,0.5328845884167719,15.187210769877998,10.47538914598233,0.6871406534847847,rock
David Bowie,Life On Mars,Hunky Dory,9,F/Dm,302,75,219,183,76,354,118,211,77,173,342,13,2143,14.092393840410638,3.499766682221185,10.21931871208586,8.539430704619692,3.546430237984134,16.518898740083994,5.506299580027998,9.846010265982267,3.5930937937470833,8.0727951469902,15.958936070928607,0.6066262249183387,rock
David Bowie,After All,The Man Who Sold The World,10,G/Em,554,157,309,14,1440,361,280,643,45,625,0,684,5112,10.837245696400625,3.071205007824726,6.044600938967136,0.27386541471048514,28.169014084507044,7.061815336463225,5.477308294209703,12.578247261345854,0.8802816901408451,12.226134585289515,0.0,13.380281690140844,rock
unknown,unknown,unknown,6,C/Am,699,200,487,170,651,895,0,404,4,1524,247,0,5281,13.236129520924067,3.787161522438932,9.2217383071388,3.219087294073092,12.327210755538724,16.94754781291422,0.0,7.650066275326643,0.07574323044877863,28.858170800984663,4.677144480212081,0.0,rock
David Bowie,Heroes,The Single Collection 2,11,D/Bm,185,13,1378,0,179,6,158,716,0,1014,0,174,3823,4.839131572063824,0.34004708344232276,36.044990844886215,0.0,4.682186764321214,0.15694480774261052,4.132879937222077,18.728747057284856,0.0,26.52367250850118,0.0,4.551399424535705,rock
Led Zeppelin,You Shook Me,Led Zeppelin I,9,G/Em,16,315,404,68,1141,16,174,280,276,593,141,747,4171,0.383601054902901,7.552145768400862,9.68592663629825,1.6303044833373292,27.355550227763125,0.383601054902901,4.171661472069048,6.713018460800766,6.617118197075042,14.217214097338768,3.380484296331815,17.90937425077919,rock
Foo Fighters,Gas Chamber,unknown,4,B/G#m,0,465,0,182,134,14,456,0,572,185,34,624,2666,0.0,17.441860465116278,0.0,6.826706676669167,5.026256564141035,0.5251312828207052,17.104276069017253,0.0,21.45536384096024,6.939234808702175,1.275318829707427,23.40585146286572,rock
Foo Fighters,Come Back,One By One,11,E/C#m,13,1012,30,461,548,36,878,0,938,300,210,475,4901,0.2652519893899204,20.648847174046114,0.6121199755152009,9.406243623750255,11.181391552744339,0.7345439706182412,17.91471128341155,0.0,19.13895123444195,6.12119975515201,4.284839828606407,9.691899612324017,rock
Foo Fighters,Disenchanted Lullaby,One by One,5,D/Bm,0,0,314,92,320,16,382,16,136,535,52,908,2771,0.0,0.0,11.33164922410682,3.3201010465535905,11.54817755322988,0.577408877661494,13.78563695416817,0.577408877661494,4.9079754601226995,19.307109346806207,1.8765788523998554,32.767953807289786,rock
Foo Fighters,Wind Up,The colour and the shape,5,D/Bm,12,190,366,121,426,104,536,54,41,664,242,847,3603,0.33305578684429643,5.27338329170136,10.15820149875104,3.358312517346656,11.823480432972524,2.886483485983902,14.876491812378573,1.4987510407993339,1.137940605051346,18.429086872051066,6.716625034693312,23.508187621426586,rock
Foo Fighters,Tired Of You,One By One,4,A#/Gm,268,4,625,143,46,339,29,770,0,169,234,3,2630,10.190114068441064,0.1520912547528517,23.76425855513308,5.437262357414449,1.7490494296577948,12.889733840304181,1.1026615969581748,29.277566539923956,0.0,6.425855513307985,8.897338403041825,0.11406844106463879,rock
Foo Fighters,All My Life,One by One,5,A#/Gm,460,189,1154,360,436,400,0,2732,3,160,399,34,6327,7.270428323059902,2.987197724039829,18.23929192350245,5.689900426742532,6.8911016279437325,6.32211158526948,0.0,43.18002212739055,0.0474158368895211,2.528844634107792,6.306306306306306,0.5373794847479058,rock
Foo Fighters,Walking a Line,One By One Special DVD Edition,5,D#/Cm,1359,8,149,992,215,721,31,556,422,91,644,103,5291,25.685125685125687,0.1512001512001512,2.816102816102816,18.74881874881875,4.063504063504063,13.626913626913629,0.5859005859005859,10.508410508410508,7.975807975807976,1.71990171990172,12.171612171612171,1.9467019467019466,rock
Richie Kotzen,Slow,Slow,8,G/Em,2,26,511,0,867,0,116,558,0,839,31,243,3193,0.06263701847792046,0.8142812402129659,16.003758221108676,0.0,27.153147510178517,0.0,3.632947071719386,17.475728155339805,0.0,26.27622925148763,0.9708737864077669,7.610397745067335,rock
Richie Kotzen,Testify,Mother Head?s Family Reunion,4,F/Dm,424,1,835,1,69,62,24,568,2,182,24,133,2325,18.236559139784948,0.043010752688172046,35.913978494623656,0.043010752688172046,2.967741935483871,2.666666666666667,1.032258064516129,24.43010752688172,0.08602150537634409,7.827956989247312,1.032258064516129,5.720430107526882,rock
Richie Kotzen,Where did our love go?,Mother Head?s Family Reunion,4,G/Em,169,1,437,0,201,128,42,467,0,288,10,114,1857,9.100700053850295,0.053850296176628974,23.53257942918686,0.0,10.823909531502423,6.892837910608509,2.2617124394184165,25.14808831448573,0.0,15.508885298869144,0.5385029617662896,6.138933764135703,rock
Richie Kotzen,Wave Of Emotion,Wave Of Emotion,4,B/G#m,2,217,122,202,316,0,284,34,160,215,0,342,1894,0.10559662090813093,11.457233368532208,6.441393875395987,10.665258711721224,16.68426610348469,0.0,14.994720168954592,1.7951425554382259,8.447729672650475,11.351636747624076,0.0,18.057022175290392,rock
Richie Kotzen,Socialite,Mother Head?s Family Reunion,4,F/Dm,541,0,925,23,67,384,11,330,9,323,3,65,2681,20.17903767251026,0.0,34.502051473330845,0.8578888474449832,2.4990675121223425,14.323013800820588,0.41029466616933974,12.308839985080194,0.3356956359567326,12.047743379336069,0.11189854531891084,2.4244684819097353,rock
Led Zeppelin,Black Country Woman,Physical Graffiti,3,G/Em,518,81,1050,2,249,294,56,1804,4,144,244,529,4975,10.412060301507537,1.628140703517588,21.105527638190953,0.04020100502512563,5.005025125628141,5.909547738693467,1.1256281407035176,36.26130653266332,0.08040201005025126,2.8944723618090453,4.9045226130653266,10.633165829145728,rock
Led Zeppelin,Dazed And Confused,Led Zeppelin I (1969),7,G/Em,48,96,552,3,755,56,398,370,23,467,2,658,3428,1.4002333722287048,2.8004667444574096,16.102683780630105,0.08751458576429405,22.024504084014,1.633605600933489,11.61026837806301,10.793465577596265,0.6709451575262544,13.623103850641774,0.05834305717619603,19.194865810968494,rock
unknown,Achilles Last Stand,Presence,8,G/Em,761,132,1040,101,3997,48,1189,1430,0,1671,87,1659,12115,6.281469252992158,1.0895583986793231,8.584399504746182,0.8336772595955426,32.99215848122163,0.3962030540652084,9.814279818406932,11.803549319026,0.0,13.792818819645067,0.7181180354931903,13.693768056128766,rock
Jimmy Page & Robert Plant,Nobody's Fault but mine - version accoustique,No Quarter,6,A/F#m,56,242,316,4,1432,0,102,262,205,1587,0,362,4568,1.2259194395796849,5.297723292469352,6.917688266199649,0.08756567425569177,31.34851138353765,0.0,2.23292469352014,5.735551663747811,4.487740805604203,34.74168126094571,0.0,7.924693520140106,rock
Led Zeppelin,The Ocean,Houses of the Holy,7,D/Bm,409,143,757,7,560,18,371,268,197,701,0,304,3735,10.950468540829988,3.8286479250334673,20.267737617135207,0.18741633199464525,14.99330655957162,0.48192771084337355,9.933065595716197,7.17536813922356,5.2744310575635875,18.768406961178048,0.0,8.139223560910308,rock
unknown,Learn To Fly,unknown,7,D/Bm,0,470,663,191,2050,0,668,570,119,519,10,2636,7896,0.0,5.952380952380952,8.396656534954406,2.418946301925025,25.962512664640325,0.0,8.45997973657548,7.218844984802432,1.5070921985815602,6.572948328267477,0.12664640324214793,33.38399189463019,rock
Porcupine Tree,Open Car,Deadwing,8,F/Dm,160,26,629,0,517,383,15,84,0,400,163,56,2433,6.576243321002877,1.0686395396629675,25.85285655569256,0.0,21.24948623099055,15.741882449650637,0.6165228113440198,3.45252774352651,0.0,16.440608302507194,6.699547883271681,2.3016851623510073,rock
Porcupine Tree,Halo,Deadwing,6,G/Em,10,170,656,21,1262,0,4,896,5,1012,18,415,4469,0.22376370552696354,3.8039829939583796,14.678899082568808,0.46990378160662344,28.238979637502798,0.0,0.0895054822107854,20.04922801521593,0.11188185276348177,22.64488699932871,0.40277466994853434,9.286193779368986,rock
